
Count of Market Power Opportunities
Generator Size, QLD, NSW, VIC, SA
200, 30, 3, 0, 66
500, 32, 5, 0, 221
1000, 43, 7, 0, 430
2000, 60, 17, 4, 985
5000, 107, 134, 79, 4496
10000, 366, 696, 793, 8150

Total $ Savings
Generator Size, QLD, NSW, VIC, SA
200, 323799754.6258321, 548498403.3203125, 0, 41952669.11233951
500, 136943415.00528926, 916986034.4816172, 0, 299690652.20625067
1000, 566377360.8320515, 1189223233.672202, 0, 911195749.5357008
2000, 236043652.9918747, 1387656068.2066853, 141759803.81251952, 3494991251.382131
5000, 581643125.2884372, 5724085511.026085, 1381749776.0662756, 24294817724.773773
10000, 1791063712.0457737, 20996936502.249928, 18193651679.510567, 30568203718.445778

Average 2SM Market Price During MP Events
Generator Size, QLD, NSW, VIC, SA
200, 13991.627213076847, 299.0, 0, 303.8432455693739
500, 14663.96632944214, 299.0, 0, 1115.6095991068903
1000, 13724.343655311533, 1354.5854062752348, 0, 4553.49820849518
2000, 14689.082883663628, 6088.643911564294, 485.5974498196166, 8448.811076021626
5000, 14510.786675099202, 9357.01471508587, 10138.204581796683, 12422.903633394993
10000, 14459.07513809715, 10998.068776023456, 10560.344172500098, 14857.745283912576

Total Original Demand During MP Events
Generator Size, QLD, NSW, VIC, SA
200, 0.299276134765625, 0.0375683837890625, 0.0, 0.0028696579761505127
500, 0.31948394531249996, 0.0628063154296875, 0.0, 0.021039111429214476
1000, 0.42016412011718746, 0.0875795693359375, 0.0, 0.07505923424720763
2000, 0.5783587744140625, 0.1523850863647461, 0.009820005828857422, 0.35549764336586
5000, 0.9846172954101562, 0.8970569924926758, 0.21006119412231444, 4.923220737054825
10000, 2.5487439909667966, 3.6623519397583006, 3.105392825714111, 12.87899799415785

Total DR Volume (GWh) During MP Events
Generator Size, QLD, NSW, VIC, SA
200, 0.0037339998678016647, 0.0, 0.0, 0.00022893751904964424
500, 0.0042180900627136215, 4.625153237342834e-05, 0.0, 0.00869512569384575
1000, 0.005306549672250753, 0.002221518578643799, 0.0, 0.0295751312498569
2000, 0.007804180000000012, 0.007405457671880721, 0.0004532700000000001, 0.14226431137210843
5000, 0.013741610000000022, 0.08043258259377956, 0.03764881665850159, 0.9743655028620815
10000, 0.04632439194046984, 0.6101392529827343, 0.446994995848925, 2.0216313941807944

DR as Percent of Total Demand During MP Events
Generator Size, QLD, NSW, VIC, SA
200, 1.247677122910555, 0.0, 0, 7.977867779098583
500, 1.320282325482033, 0.07364153120112188, 0, 41.328388430757954
1000, 1.2629706864952461, 2.536571709004989, 0, 39.40238872202078
2000, 1.3493665775031176, 4.859699757071473, 4.615781374263594, 40.01835568448404
5000, 1.3956295571951904, 8.966273410374901, 17.922785222566826, 19.791221131493845
10000, 1.8175380542201076, 16.659765719375425, 14.39415304072311, 15.69711708238361
