Date ,NSW nersi_max_capacity,NSW total_available_capacity_MW,NSW total_demand_MW,QLD nersi_max_capacity,QLD total_available_capacity_MW,QLD total_demand_MW,SA nersi_max_capacity,SA total_available_capacity_MW,SA total_demand_MW,TAS nersi_max_capacity,TAS total_available_capacity_MW,TAS total_demand_MW,VIC nersi_max_capacity,VIC total_available_capacity_MW,VIC total_demand_MW,
2019-07-02 20:00:00,9974,15223.23192240862,9975.4130859375,6700,11790.535347062718,6701.62353515625,1835,4324.702380593084,1836.94970703125,1439,3272.415609812504,1440.755615234375,5928,11563.96346628666,5929.8466796875,
2019-07-02 21:00:00,9586,15234.550100245258,9587.2841796875,6540,11730.779295062603,6541.2568359375,1930,4317.456506313605,1931.89599609375,1390,3272.4595897820172,1391.1021728515625,5665,11711.535811841488,5666.8486328125,
2019-07-02 22:00:00,9080,15228.722088946084,9081.3662109375,6249,11639.187897185093,6250.38232421875,1823,4358.588527941893,1824.436767578125,1314,3272.4595897820172,1315.2596435546875,5300,11677.939530670643,5301.09033203125,
2019-07-02 23:00:00,8810,15142.364963294993,8811.6484375,5899,11626.375197000816,5900.24755859375,1667,4346.047351980531,1668.00830078125,1232,3272.4595897820172,1233.2086181640625,5088,11580.285906732082,5089.28515625,
2019-07-03 00:00:00,8495,15146.514681757793,8496.197265625,5664,11505.996359355777,5665.97412109375,1818,4295.335900370514,1819.3565673828125,1146,3272.4595897820172,1147.1021728515625,5260,11434.822007343173,5261.12548828125,
2019-07-03 01:00:00,8052,14876.19712363127,8053.58203125,5293,11651.437999145222,5294.89111328125,1653,4605.082859543501,1654.7705078125,1099,3272.0199612891865,1100.318115234375,4743,11783.899439260364,4744.02490234375,
2019-07-03 02:00:00,7568,14904.498751971925,7569.1181640625,5015,11627.774939169323,5016.59130859375,1431,4717.002719553137,1432.9180908203125,1087,3272.354671303708,1088.03271484375,4516,11966.034344643354,4517.365234375,
2019-07-03 03:00:00,6909,14925.578377977612,6910.35693359375,4833,11523.511898499075,4834.1376953125,1303,4796.348640863068,1304.1390380859375,1079,3271.595731492429,1080.0667724609375,4259,12055.08908522129,4260.82275390625,
2019-07-03 04:00:00,6559,14971.795342713494,6560.541015625,4791,11422.787255331965,4792.09521484375,1241,4825.739178642314,1242.7579345703125,1093,3271.621107478299,1094.00146484375,4079,12148.89135247469,4080.149658203125,
2019-07-03 05:00:00,6608,15010.802409807857,6609.79150390625,4933,11380.780098166655,4934.103515625,1236,4824.823110233143,1237.6612548828125,1093,3250.348355749497,1094.23583984375,4111,12077.593523025513,4112.251953125,
2019-07-03 06:00:00,7248,15022.204207764364,7249.84423828125,5287,11417.371915764077,5288.6015625,1289,4820.803933319984,1290.8096923828125,1150,3254.2675188805133,1151.75341796875,4446,12157.713366389275,4447.62158203125,
2019-07-03 07:00:00,8581,15165.821186405628,8582.1875,5842,11943.747075318384,5843.98583984375,1487,4771.165232357917,1488.2198486328125,1311,3265.073665606902,1312.117431640625,5274,11940.499098986387,5275.87109375,
2019-07-03 08:00:00,9296,15292.457130434435,9297.62890625,5951,12306.438198046446,5952.3076171875,1748,4920.388516014923,1749.9132080078125,1490,3259.9632292921515,1491.0054931640625,5705,12238.72549661994,5706.97021484375,
2019-07-03 09:00:00,9172,15442.552387904761,9173.365234375,5606,12468.981875814052,5607.8291015625,1794,5080.196005112041,1795.175048828125,1484,3269.8359239925912,1485.3280029296875,5688,12459.84742641449,5689.77685546875,
2019-07-03 10:00:00,8756,15774.494443173886,8757.0703125,5285,12640.931855058425,5286.37158203125,1587,5175.121128824888,1588.8515625,1434,3271.795077552341,1435.2489013671875,5373,12595.46513068676,5374.73388671875,
2019-07-03 11:00:00,8292,15929.519166803042,8293.845703125,5151,12749.230799830373,5152.03271484375,1413,5205.467763217115,1414.1954345703125,1386,3271.893385719489,1387.9580078125,5108,12713.580538064241,5109.208984375,
2019-07-03 12:00:00,7874,16095.240926304887,7875.80419921875,5138,12811.920381549735,5139.90673828125,1313,5242.494741194698,1314.86376953125,1370,3272.0239274758837,1371.585693359375,4957,12785.542057275772,4958.7421875,
2019-07-03 13:00:00,7693,16210.410141160146,7694.61962890625,5255,12802.465109473529,5256.7216796875,1264,5239.778673556982,1265.703125,1335,3272.0978678485044,1336.6829833984375,4850,12795.29317265749,4851.20166015625,
2019-07-03 14:00:00,7749,16245.742323200584,7750.87158203125,5407,12731.230992801156,5408.9609375,1278,5217.982098129926,1279.5689697265625,1331,3272.365951633259,1332.615234375,4947,12838.353309512138,4948.83544921875,
2019-07-03 15:00:00,7969,15915.523577340467,7970.3212890625,5658,12566.665341625385,5659.44677734375,1329,4379.566880048468,1330.282470703125,1340,2944.4160835785274,1341.4727783203125,5101,11866.799668073654,5102.08349609375,
2019-07-03 16:00:00,8341,15648.71180632809,8342.3876953125,5991,12265.607418362875,5992.0771484375,1430,4370.993840846582,1431.7928466796875,1360,2935.818263475539,1361.750732421875,5379,11613.204341068864,5380.28662109375,
2019-07-03 17:00:00,9045,15476.259249399782,9046.107421875,6364,11851.652640051105,6365.04931640625,1584,4260.362822414192,1585.1683349609375,1417,2935.4718760372352,1418.19091796875,5674,11562.624208390713,5675.1943359375,
